"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Medicago littoralis Rohde ex Loisel.",99.2,5,77.8,23.2
"Medicago minima (L.) L.",99.2,4,85.7,2.2
"Phleum arenarium L. subsp. caesium H.Scholz",99.2,4,84.6,23.2
"Ranunculus bulbosus L.",99.2,3,84.7,77.4
"Ranunculus parviflorus L.",99.2,3,82.6,77.4
"Sinapis arvensis L. subsp. arvensis",99.2,3,83.9,77.4
"Arbutus unedo L.",99.1,3,84.8,71.5
"Juncus inflexus L. subsp. inflexus",99.1,3,91.3,26.2
"Platanus orientalis L.",99.1,3,85.7,62.6
"Salix caprea L.",99.1,6,84.8,2.2
"Scrophularia auriculata L. subsp. auriculata",99.1,3,85.7,58.5
"Trifolium lappaceum L.",99.1,6,73.5,2.3
"Urtica membranacea Poir. ex Savigny",99.1,7,84.7,2.2
"Clinopodium vulgare L. subsp. vulgare",99,4,91.3,2.2
"Erigeron acris L. subsp. acris",99,5,76.4,23.2
"Juniperus communis L.",99,4,84.8,2.2
"Lathyrus sphaericus Retz.",99,3,85.7,69.2
"Tamarix gallica L.",99,5,87.3,2.2
"Verbena bonariensis L.",99,2,90,90
"Lonicera implexa Aiton subsp. implexa",98.9,3,88.5,33.9
"Salicornia perennans Willd. subsp. perennans",98.9,4,73.5,59.1
"Sonchus maritimus L.",98.9,6,85.7,17.8
"Teucrium scordium L. subsp. scordioides (Schreb.) Arcang.",98.9,5,85.7,2.2
"Veronica scutellata L.",98.9,4,84.7,30.6
"Alkekengi officinarum Moench",98.8,5,85.7,10.6
"Cardamine amporitana Sennen & Pau",98.8,3,84.7,69.2
"Echinophora spinosa L.",98.8,4,84.6,23.2
"Helichrysum stoechas (L.) Moench subsp. stoechas",98.8,4,79.7,23.2
"Juncus acutus L. subsp. acutus",98.8,3,86.9,67.1
"Loncomelos pyrenaicus (L.) Hrouda subsp. pyrenaicus",98.8,3,84.7,69.2
"Pulicaria sicula (L.) Moris",98.8,4,72.7,47.8
"Parapholis incurva (L.) C.E.Hubb. subsp. incurva",98.7,4,83.9,25.8
