"x"
"Arenaria serpyllifolia L. subsp. serpyllifolia"
"Cerastium semidecandrum L."
"Cerastium ligusticum Viv."
"Sinapis arvensis L. subsp. arvensis"
"Urtica membranacea Poir. ex Savigny"
"Humulus lupulus L."
"Ranunculus parviflorus L."
"Ribes rubrum L."
"Pittosporum tobira (Thunb.) W.T.Aiton"
"Ranunculus bulbosus L."
"Sedum sexangulare L."
"Pyracantha coccinea M.Roem."
"Colchicum neapolitanum (Ten.) Ten. subsp. neapolitanum"
"Rumex acetosella L. subsp. acetosella"
"Saxifraga tridactylites L."
"Medicago minima (L.) L."
"Trifolium squamosum L."
"Trifolium cherleri L."
"Trifolium nigrescens Viv. subsp. nigrescens"
"Trifolium campestre Schreb."
"Sulla coronaria (L.) Medik."
"Vicia pseudocracca Bertol."
"Medicago littoralis Rohde ex Loisel."
"Ervilia hirsuta (L.) Opiz"
"Linum radiola L."
"Euphorbia peplus L."
"Nymphoides peltata (S.G.Gmel.) Kuntze"
"Cerinthe major L. subsp. major"
"Anchusa azurea Mill."
"Cuscuta cesattiana Bertol."
"Verbascum thapsus L. subsp. thapsus"
"Veronica arvensis L."
"Salvia rosmarinus Spenn."
"Myosotis arvensis (L.) Hill subsp. arvensis"
"Ecballium elaterium (L.) A.Rich."
"Senecio lividus L."
"Cladanthus mixtus (L.) Chevall."
"Helichrysum stoechas (L.) Moench subsp. stoechas"
"Hedypnois rhagadioloides (L.) F.W.Schmidt"
"Sonchus asper (L.) Hill subsp. asper"
"Taraxacum obovatum (Willd.) DC."
"Crepis leontodontoides All."
"Crepis sancta (L.) Bornm. subsp. nemausensis (P.Fourn.) Babc."
"Herniaria glabra L. subsp. glabra"
"Carex divisa Huds."
"Carex flacca Schreb. subsp. serrulata (Biv.) Greuter"
"Acorus calamus L."
"Juncus bufonius L."
"Loncomelos pyrenaicus (L.) Hrouda subsp. pyrenaicus"
"Muscari comosum (L.) Mill."
"Asparagus tenuifolius Lam."
"Allium vineale L."
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase"
"Epipactis microphylla (Ehrh.) Sw."
"Platanus orientalis L."
"Silene gallica L."
"Cistus monspeliensis L."
"Cardamine amporitana Sennen & Pau"
"Glaucium flavum Crantz"
"Sedum cepaea L."
"Crassula tillaea Lest.-Garl."
"Rubus caesius L."
"Rubus praecox Bertol."
"Ononis reclinata L."
"Agrimonia eupatoria L. subsp. eupatoria"
"Fumaria muralis W.D.J.Koch subsp. muralis"
"Neotinea maculata (Desf.) Stearn"
"Trifolium subterraneum L. subsp. subterraneum"
"Trifolium angustifolium L. subsp. angustifolium"
"Trifolium resupinatum L."
"Lotus tenuis Waldst. & Kit. ex Willd."
"Ornithopus compressus L."
"Lathyrus sphaericus Retz."
"Torilis arvensis (Huds.) Link subsp. arvensis"
"Oxalis stricta L."
"Lysimachia linum-stellatum L."
"Cynoglossum creticum Mill."
"Myosotis discolor Pers. subsp. discolor"
"Antirrhinum majus L. subsp. majus"
"Carlina corymbosa L."
"Scolymus hispanicus L. subsp. hispanicus"
"Sonchus asper (L.) Hill s.l."
"Urospermum picroides (L.) Scop. ex F.W.Schmidt"
